year,trade_date,manager_a,manager_a_players,manager_a_playoff_keepers,manager_a_season_keepers,manager_b,manager_b_players,manager_b_playoff_keepers,manager_b_season_keepers
2022,2022-10-22,Eddie,Cordarrelle Patterson,,,Jeremy,Dak Prescott,,
2022,2022-10-26,Eric,Adam Thielen,,,Evan,Allen Lazard,,
2022,2022-11-18,David,Kirk Cousins,,,Matthew,"""Andy Dalton, DeVonta Smith""",,
2022,2022-11-20,David,Kenyan Drake,,,Tom,Donovan Peoples-Jones,,
2022,2022-12-01,David,"""Elijah Moore, J.K. Dobbins""",,,John,Jakobi Meyers,,
2022,2022-12-03,Anthony,Brandon Aiyuk,,,Jeremy,"""Zonovan Knight, Cordarrelle Patterson""",,
2022,2022-12-08,Eddie,"""Latavius Murray, Dak Prescott""",,,Russ,"""Mike Williams, Rondale Moore""",,
2022,2022-12-13,Jesse,Stefon Diggs,,,Matthew,"""David Montgomery, Kareem Hunt, DK Metcalf""",,
2022,2022-12-14,David,Diontae Johnson,,,Jesse,Joe Burrow,,
2022,2022-12-15,Jeremy,"""George Kittle, Amon-Ra St. Brown, Justin Herbert""",,,Russ,"""Dak Prescott, Davante Adams, Aaron Jones, AJ Dillon""",,
2022,2022-12-17,John,J.K. Dobbins,,,Russ,"""Lamar Jackson, Michael Gallup""",,
2022,2022-12-20,Eddie,Rhamondre Stevenson,,,Eric,Dalvin Cook,,
2022,2022-12-21,Jesse,DK Metcalf,,,Jeremy,"""AJ Dillon, Brandon Aiyuk, Aaron Jones""",,
2023,2023-08-20,David,Patriots D/ST,,,Jesse,Ravens D/ST,,
2023,2023-09-10,John,Terry McLaurin,,,Jesse,Dalvin Cook,,
2023,2023-09-10,Matthew,"""De'Von Achane, Jahan Dotson""",,,John,"""Quentin Johnson, Khalil Herbert""",,
2023,2023-09-28,Jesse,"""Terry McLaurin, Pat Freiermuth""",,,Russ,Dallas Goedert,,
2023,2023-10-10,Jesse,"""Dallas Goedert, James Cook, Justin Fields""",,,Tom,"""Marvin Mims Jr., Drake London, Travis Etienne Jr.""",,
2023,2023-10-10,Tom,George Kittle,,,Jeremy,DJ Moore,,
2023,2023-10-19,Eric,"""Zach Evans, Alexander Mattison""",,,Russ,DK Metcalf,,
2023,2023-10-26,Jesse,"""Dalton Shultz, Gus Edwards""",,,Matthew,Jared Goff,,
2023,2023-11-02,Russ,Tank Bigsby,,,David,Jake Bobo,,
2023,2023-11-15,Tom,Elijah Mitchell,,,David,Cole Kmet,,
2023,2023-11-16,Matthew,Zay Flowers,,,Tom,Sam Howell,,
2023,2023-11-30,Jesse,"""D'Andre Swift, Dalton Kincaid, Nico Collins""",,,Matthew,"""Dalton Schultz, Stefon Diggs, Gus Edwards""",,
2023,2023-12-01,David,Christian Kirk,,,Evan,Brian Robinson Jr.,,
2023,2023-12-07,Tom,Dallas Goedert,,,Jesse,Gus Edwards,,
2023,2023-12-12,David,Jameson Williams,,,Russ,David Njoku,,
2023,2023-12-12,Russ,"""Jonathan Mingo, Cooper Kupp""",,,Jesse,"""Noah Brown, Drake London, Keenan Allen""",,
2023,2023-12-12,Evan,"""Adam Thielen, George Pickens, Raheem Mostert""",,,Eric,"""Courtland Sutton, DK Metcalf""",,
2024,2024-09-04,David,Jerome Ford,,,Jeremy,Stefon Diggs,,
2024,2024-10-09,Jesse,"""Geno Smith, Travis Etienne Jr., Brian Robinson Jr., Deebo Samuel Sr., Rico Dowdle""",,,Brian,"""Davante Adams, Terry McLaurin, Saquon Barkley, C.J. Stroud""",,
2024,2024-10-10,Jesse,"""Alec Pierce, Isiah Pacheco, Kareem Hunt, Davante Adams"" ",,,Jeremy,"""Justin Jefferson, Jerome Ford""",,
2024,2024-10-24,Anthony,Alvin Kamara,,,David,Tee Higgins,,
2024,2024-10-29,Jesse,"""Cole Kmet, Terry McLaurin""",,,David,Travis Kelce,,
2024,2024-10-31,Eric,Jake Ferguson,,,David,Jordan Love,,
2024,2024-11-05,John,Jaylen Warren,,,Jesse,"""C.J. Stroud, Keon Coleman""",,
2024,2024-11-08,Tom,Sam Darnold,,,Jesse,Jonnu Smith,,
2024,2024-11-14,Jesse,"""Blake Corum, Jaylen Warren, Lions D/ST, Jared Goff""",,,Russ,"""Brian Thomas Jr., Xavier Worthy, Javonte Williams""",,
2024,2024-11-14,Eric,Darnell Mooney,,,Matthew,Rhamondre Stevenson,,
2024,2024-11-23,Jesse,Khalil Shakir,,,Eric,Will Dissly,,
2024,2024-11-23,Eddie,"""Ja'Marr Chase, Dalton Schultz""",,,Jesse,"""Brian Thomas Jr., Travis Kelce, DK Metcalf""",,
2024,2024-11-24,Jeremy,"""DeAndre Hopkins, Tony Pollard""",,,Matthew,Marvin Harrison Jr.,,
2024,2024-12-04,Jeremy,"""Zay Flowers, Lamar Jackson""",,,Russ,"""Blake Corum, Kyren Williams, Kyler Murray""",,
2024,2024-12-04,Evan,"""Mark Andrews, Cooper Kupp, Joe Burrow""",,,Jesse,"""Justin Jefferson, Justin Herbert""",,
2024,2024-12-11,Jesse,Tyler Allgeier,,,John,Tank Dell,,
2024,2024-12-11,Anthony,Zach Charbonnet,,,Jesse,Xavier Worthy,,
2024,2024-12-11,David,"""Quentin Johnson, Jalen Hurts""",,,Evan,"""Courtland Sutton, Justin Herbert""",,
2024,2024-12-11,Russ,Jaylen Waddle,,,Jesse,Zach Charbonnet,,
2025,2025-08-29,Jesse,Braelon Allen,,,Matthew,Austin Ekeler,,
2025,2025-09-09,Evan,"""Khalil Shakir, Terry McLaurin""",,,Jesse,"""Rhamondre Stevenson, Keon Coleman, Kyle Pitts Sr.""",,
2025,2025-09-24,Evan,Aaron Jones,,,Matthew,Sam LaPorta,,
2025,2025-09-30,David,Brian Robinson Jr,,,Jesse,Dalton Kincaid,,
2025,2025-10-01,Evan,Justin Jefferson,,,Tom,"""Quinshon Judkins, Chris Godwin Jr""",,
2025,2025-10-14,Matthew,"""Breece Hall, Brandon Aubrey, Broncos D/ST, Zay Flowers, Lamar Jackson""",,,Jesse,"""Lions D/ST, Joshua Karty, Saquon Barkley, Ricky Pearsall""",,
2025,2025-10-21,Jesse,"""Amon-Ra St. Brown, Brian Robinson Jr., Tyler Allgeier""",,,Russ,"""George Pickens, Drake London, Jordan Mason""",,
2025,2025-10-23,Jesse,DeVonta Smith,,,Eric,Chuba Hubbard,,
2025,2025-10-30,Anthony,Joe Flacco,,,Jeremy,Isiah Pacheco,,
2025,2025-11-16,Matthew,Aaron Jones,,,David,"""Justin Herbert, Khalil Shakir""",,
2025,2025-11-17,Jesse,"""Drake London, Zay Flowers, Lamar Jackson""",,,Jeremy,"""Emeka Egbuka, Kimani Vidal, Baker Mayfield""",,
2025,2025-12-04,Jesse,"""Tony Pollard, Emeka Egbuka, Terry McLaurin, Breece Hall""",,,Russ,"""TreVeyon Henderson, Omarion Hampton, Sean Tucker""",,
